NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
VALIDATED TRANSCRIPTIONAL TARGETS OF AP1 FAMILY MEMBERS FRA1 AND FRA2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TRANSCRIPTIONAL TARGETS OF AP1 FAMILY MEMBERS FRA1 AND FRA2	VALIDATED TRANSCRIPTIONAL TARGETS OF AP1 FAMILY MEMBERS FRA1 AND FRA2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TRANSCRIPTIONAL TARGETS OF AP1 FAMILY MEMBERS FRA1 AND FRA2	Details ...	30	-0.70600593	-2.294392	0.0	0.0	0.0	805	tags=37%, list=5%, signal=39%	
PID_FRA_PATHWAY%MSIGDB_C2%PID_FRA_PATHWAY	PID_FRA_PATHWAY%MSIGDB_C2%PID_FRA_PATHWAY	Details ...	27	-0.6763599	-2.1493797	0.0	0.0128944395	0.028	743	tags=33%, list=5%, signal=35%	
REGULATION OF MORPHOGENESIS OF AN EPITHELIUM%GOBP%GO:1905330	REGULATION OF MORPHOGENESIS OF AN EPITHELIUM%GOBP%GO:1905330	Details ...	19	-0.6879689	-1.998385	0.0	0.13161908	0.362	2072	tags=53%, list=13%, signal=61%	
DNA ALKYLATION%GOBP%GO:0006305	DNA ALKYLATION%GOBP%GO:0006305	Details ...	25	-0.62506497	-1.9913113	0.0021276595	0.10937683	0.384	4158	tags=56%, list=27%, signal=76%	
RESPONSE TO RETINOIC ACID%GOBP%GO:0032526	RESPONSE TO RETINOIC ACID%GOBP%GO:0032526	Details ...	40	-0.5661711	-1.9818408	0.0	0.10170176	0.424	2072	tags=38%, list=13%, signal=43%	
REGULATION OF MYOTUBE DIFFERENTIATION%GOBP%GO:0010830	REGULATION OF MYOTUBE DIFFERENTIATION%GOBP%GO:0010830	Details ...	20	-0.67741835	-1.9809568	0.0	0.08594256	0.428	3349	tags=65%, list=22%, signal=83%	
CAMERA-TYPE EYE MORPHOGENESIS%GOBP%GO:0048593	CAMERA-TYPE EYE MORPHOGENESIS%GOBP%GO:0048593	Details ...	31	-0.60545784	-1.974319	0.0	0.08126625	0.461	2393	tags=35%, list=15%, signal=42%	
PHOTORECEPTOR CELL DIFFERENTIATION%GOBP%GO:0046530	PHOTORECEPTOR CELL DIFFERENTIATION%GOBP%GO:0046530	Details ...	17	-0.70006776	-1.9734329	0.0022222223	0.07188665	0.467	1161	tags=24%, list=7%, signal=25%	
STEROL HOMEOSTASIS%GOBP%GO:0055092	STEROL HOMEOSTASIS%GOBP%GO:0055092	Details ...	43	-0.5543932	-1.9606038	0.0021551724	0.077736475	0.532	2424	tags=44%, list=16%, signal=52%	
POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001938	POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001938	Details ...	49	-0.544481	-1.9583819	0.0	0.07146851	0.541	4006	tags=57%, list=26%, signal=77%	
REGULATION OF AXON EXTENSION INVOLVED IN AXON GUIDANCE%GOBP%GO:0048841	REGULATION OF AXON EXTENSION INVOLVED IN AXON GUIDANCE%GOBP%GO:0048841	Details ...	18	-0.68667257	-1.9479667	0.0	0.07416603	0.593	3047	tags=56%, list=20%, signal=69%	
DNA METHYLATION%GOBP%GO:0006306	DNA METHYLATION%GOBP%GO:0006306	Details ...	25	-0.62506497	-1.9471508	0.0	0.06872443	0.596	4158	tags=56%, list=27%, signal=76%	
CELLULAR RESPONSE TO RETINOIC ACID%GOBP%GO:0071300	CELLULAR RESPONSE TO RETINOIC ACID%GOBP%GO:0071300	Details ...	27	-0.6104397	-1.9445945	0.0	0.0652878	0.602	2072	tags=41%, list=13%, signal=47%	
DISEASES ASSOCIATED WITH O-GLYCOSYLATION OF PROTEINS%REACTOME DATABASE ID RELEASE 79%3906995	DISEASES ASSOCIATED WITH O-GLYCOSYLATION OF PROTEINS%REACTOME DATABASE ID RELEASE 79%3906995	Details ...	38	-0.5406031	-1.9228544	0.0	0.0787027	0.706	3726	tags=39%, list=24%, signal=52%	
